MLinkID,USNode,DSNode,LinkReach,ReachElement
48199,AAQ562,AAT824,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.1.1.3,5
48200,AAQ566,AAT825,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.1.2,4
48202,AAQ572,AAT826,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.1,6
48201,AAQ571,AAT827,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.2,6
34142,AAT826,AAT828,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.1,5
48203,AAQ573,AAT829,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.2.3,6
34143,AAT829,AAT830,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.2.3,5
48204,AAQ574,AAT831,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.2.1.2,6
34144,AAT831,AAT832,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.2.1.2,5
48205,AAQ575,AAT833,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.2.1.1.3,6
34145,AAT833,AAT834,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.2.1.1.3,5
34193,AAT822,AAT835,3.2.2.1.2.1.1.2.2.3.2.1.3.3.1.1.2,6
34192,AAT823,AAT836,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.1.1.1.1,3
48231,AAT886,AAT837,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.1.1.3,3
34181,AAT825,AAT838,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.1.2,3
34172,AAT827,AAT839,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.2,5
34171,AAT828,AAT840,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.1,4
34158,AAT830,AAT841,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.2.3,4
34157,AAT832,AAT842,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.2.1.2,4
34148,AAT834,AAT843,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.2.1.1.3,4
34194,AAT835,AAT844,3.2.2.1.2.1.1.2.2.3.2.1.3.3.1.1.2,5
34191,AAT836,AAT845,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.1.1.1.1,2
34182,AAT837,AAT846,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.1.1.3,2
34180,AAT838,AAT847,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.1.2,2
34173,AAT839,AAT848,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.2,4
